Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
ENSMUSG00000041468,Gpr12,4.129261285476207,0.0024825605773131,0.0226571634913232,0.4902958849010457,0.6239245385386406,,False
ENSMUSG00000041471,Shld2,2.963426838022236,0.0011068226711471,0.0227944602606651,0.2289094828653797,0.8189392699872909,,False
ENSMUSG00000041476,Smpx,0.1656003439945796,0.0018343729205422,0.0241898521341043,0.8374278985709592,0.4023520894083774,,False
ENSMUSG00000041477,Dcp1b,4.121099080031869,0.0004894559383553,0.0223527179526298,0.1214124253447079,0.9033643756850976,,False
ENSMUSG00000041479,Syt15,1.6711679586854238,-0.0035222574887552,0.0238808874421982,-1.2454893526413762,0.2129519269035045,,False
ENSMUSG00000041481,Serpina3g,1.456813773347539,-0.0005621914832387,0.0232285303045794,-0.2166806946665135,0.8284571940118796,,False
ENSMUSG00000041482,Piezo2,2.041990482145935,-0.0007184365407076,0.0230581505244344,-0.3154574825554731,0.7524143282146688,,False
ENSMUSG00000041483,Zfp281,8.193531578900618,0.0044620101091154,0.0220065142753789,0.7024552072659309,0.4823953265741199,,False
ENSMUSG00000041488,Stx3,5.714881615481824,0.0024062591990956,0.0221182796235664,0.5438090563095572,0.5865728761383474,,False
ENSMUSG00000041491,Cep78,3.4463410222498574,-0.0008275752802556,0.0225865153155717,-0.2165779870373051,0.8285372423686591,,False
ENSMUSG00000041498,Kif14,1.530468726430991,-0.0021111924904093,0.0234740247342809,-0.8022212112101018,0.4224250087170544,,False
ENSMUSG00000041505,Gm3402,0.0227630143755064,8.010096260673474e-05,0.0294516344218298,0.0233180972412155,0.9813965361274568,,False
ENSMUSG00000041506,Rrp9,4.125244262279451,-0.0017583735135892,0.0224896039591234,-0.4573130650692834,0.6474460402712221,,False
ENSMUSG00000041512,4930569F06Rik,0.0020712297649353,-2.6244824557703883e-05,0.0261072642249775,-0.0047538796739207,0.9962069670909632,,False
ENSMUSG00000041515,Irf8,2.928161268268561,-0.0013804840929362,0.0228320012555921,-0.3836118269990369,0.7012661728173344,,False
ENSMUSG00000041523,Upk2,0.3065393678253101,-0.0002144181704636,0.023694636051133,-0.1264268451860576,0.899394053255978,,False
ENSMUSG00000041528,Rnf123,9.079455094604794,-0.0040245413083435,0.0215579555235519,-0.6942671090022128,0.4875147137072297,,False
ENSMUSG00000041534,Rbp3,0.43097967649587,0.0014830489846188,0.0237204471688435,0.8254255668641236,0.4091300247122744,,False
ENSMUSG00000041536,Serpina3a,0.0186516882936366,-8.168540670585157e-05,0.0220542605819955,-0.0201009095698799,0.9839628745609458,,False
ENSMUSG00000041538,H2-Ob,1.4803831592016583,0.0026256298703757,0.023645555065269,0.9648927608669502,0.3345985276865945,,False
ENSMUSG00000041540,Sox5,6.199780433249326,0.0017634236205793,0.0218597454279269,0.4172674123494744,0.6764828217055069,,False
ENSMUSG00000041544,Disp3,6.008130556040183,-0.0675048188322614,0.0728281769966356,-2.447312045417647,0.0143926170796923,,False
ENSMUSG00000041548,Hspb8,3.829096725394289,-0.0013295445048983,0.022517469590457,-0.3249653399883838,0.7452073039127141,,False
ENSMUSG00000041550,Serpina5,0.0062035726099012,-6.541866956223769e-06,0.0206914692157202,-0.0047537296290781,0.9962070868080736,,False
ENSMUSG00000041552,Ptchd1,2.9468470599840524,-0.0003223376599628,0.0227451201916506,-0.0663875527323717,0.9470692798216686,,False
ENSMUSG00000041559,Fmod,4.25906539614961,0.0010084807291667,0.0223600627378486,0.2508521629587412,0.8019284104138122,,False
ENSMUSG00000041560,Nop53,8.942804831421288,0.0013141135112948,0.021007631154772,0.2526388942923693,0.8005472714468663,,False
ENSMUSG00000041565,L3mbtl4,1.5048507372042756,0.0013643722319816,0.0233829585600393,0.5184810292552287,0.6041226927748563,,False
ENSMUSG00000041566,Tssk1,0.3292230051640972,-0.0005444038026004,0.0236863130827486,-0.2997042968758043,0.7644027207608307,,False
ENSMUSG00000041567,Serpina12,0.2505175646952984,0.0002326860426987,0.0237024981986455,0.1151589907540029,0.9083191029988162,,False
ENSMUSG00000041577,Prelp,4.856979224190163,-9.728415817724524e-05,0.0220929395373697,-0.0064389010834977,0.9948625357363696,,False
ENSMUSG00000041578,Crx,0.7332943346719156,-0.0009672569508828,0.0235332131580195,-0.5261961202275529,0.5987519494111018,,False
ENSMUSG00000041583,Obox6,0.0,,,,,,False
ENSMUSG00000041592,Sdk2,5.147407544487073,-0.0066549973195383,0.0242095005395682,-1.361468366717173,0.1733657236822829,,False
ENSMUSG00000041594,Tmtc4,3.961648755709767,-0.0010477726368796,0.0224432496576118,-0.1901432098368873,0.8491969111190883,,False
ENSMUSG00000041598,Cdc42ep4,5.675810986181558,-0.0003633687586779,0.0218582980334212,-0.1038692179772051,0.917273135437642,,False
ENSMUSG00000041605,Inava,2.2675078511385847,-0.0003915907006895,0.0229647562937411,-0.1206012975864154,0.9040068410211176,,False
ENSMUSG00000041608,Entpd3,3.116327467654488,-0.0008288407260131,0.0227097965063761,-0.0747313937023154,0.9404284289430012,,False
ENSMUSG00000041609,Bicdl1,7.375313214052962,-0.016354389332922,0.0338355931727754,-2.2095762063052,0.0271345881479664,,False
ENSMUSG00000041616,Nppa,0.595879301801023,0.00056999253472,0.0236721771092467,0.3046366318145077,0.7606429171464634,,False
ENSMUSG00000041617,Ccdc74a,4.442046794651523,0.0041790236222608,0.0231291228828956,0.7500227985379901,0.4532409738847548,,False
ENSMUSG00000041620,Mmp1b,0.0145171474931709,-6.709694386243123e-05,0.0158297449802223,-0.0059218302651851,0.9952750906753078,,False
ENSMUSG00000041623,Mtnap1,3.0502978637277534,-0.0011327774932774,0.0227565069565054,-0.2789100201992097,0.7803138785643811,,False
ENSMUSG00000041624,Gucy1a2,3.0671323629729126,-0.0004565719486633,0.0226977786855646,-0.126901920931767,0.8990180262515466,,False
ENSMUSG00000041625,Ggact,3.9180901106648096,0.0020725812654654,0.0226285644430357,0.5265920665170984,0.59847690245255,,False
ENSMUSG00000041629,Vcf1,5.557195394023408,-0.0003037085182617,0.0218992669571328,-0.06700610643211,0.946576841898399,,False
ENSMUSG00000041632,Mrps27,4.774786335056434,-0.0019253075491161,0.0223139375954551,-0.4321641221780422,0.6656221333265393,,False
