native,name,Wilcoxon_p,Wilcoxon_FDR,Wilcoxon_significant,gProfiler_p,gProfiler_significant,methods_included,methods_significant
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)",0.5948449309894195,0.8437726867305281,False,,,1,0
GO:0000387,spliceosomal snRNP assembly (GO:0000387),0.4771369288490822,0.7700254919277794,False,,,1,0
GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)",0.7415790823787987,0.9113282678884924,False,,,1,0
GO:0000398,"mRNA splicing, via spliceosome",,,,1.0,False,1,0
GO:0000398,"mRNA splicing, via spliceosome (GO:0000398)",0.315639913825584,0.6433797755278405,False,,,1,0
GO:0000413,protein peptidyl-prolyl isomerization,,,,1.0,False,1,0
GO:0000413,protein peptidyl-prolyl isomerization (GO:0000413),0.5898753677007581,0.8425740066615665,False,,,1,0
GO:0000422,autophagy of mitochondrion,,,,1.0,False,1,0
GO:0000422,autophagy of mitochondrion (GO:0000422),0.8109216532754635,0.9381126296262408,False,,,1,0
GO:0000423,mitophagy,,,,1.0,False,1,0
GO:0000460,maturation of 5.8S rRNA (GO:0000460),0.8363437051972267,0.9474416955400868,False,,,1,0
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",0.2658793101709252,0.5966319260753972,False,,,1,0
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",0.1592524448087128,0.4733891247331095,False,,,1,0
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",0.4287089201732295,0.7362360309181476,False,,,1,0
GO:0000470,maturation of LSU-rRNA (GO:0000470),0.0261920063644354,0.1940357033990302,False,,,1,0
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",0.079484580093197,0.3355334133611102,False,,,1,0
GO:0000491,small nucleolar ribonucleoprotein complex assembly (GO:0000491),0.3053118363498431,0.6331589914023811,False,,,1,0
GO:0000578,embryonic axis specification (GO:0000578),0.9050146062792186,0.9688574613736848,False,,,1,0
GO:0000712,resolution of meiotic recombination intermediates (GO:0000712),0.1570191543840841,0.4727411226183108,False,,,1,0
GO:0000715,"nucleotide-excision repair, DNA damage recognition (GO:0000715)",0.0077472130129139,0.1096987358617629,False,,,1,0
GO:0000717,"nucleotide-excision repair, DNA duplex unwinding (GO:0000717)",0.0812723886520886,0.3377375838140357,False,,,1,0
GO:0000722,telomere maintenance via recombination (GO:0000722),0.959607008521678,0.9908625299218164,False,,,1,0
GO:0000723,telomere maintenance (GO:0000723),0.2721573960160917,0.6029160725507079,False,,,1,0
GO:0000724,double-strand break repair via homologous recombination,,,,1.0,False,1,0
GO:0000724,double-strand break repair via homologous recombination (GO:0000724),0.5378838318288389,0.8131500096160965,False,,,1,0
