refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	tissue	genotype	age
SRR6113400	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_102-31391417		cortex	wt	8m
SRR6113401	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-30894000		cortex	wt	8m
SRR6113402	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-30894000		cortex	wt	8m
SRR6113403	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-30894000		cortex	wt	8m
SRR6113404	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-30894000		cortex	wt	8m
SRR6113405	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-31384404		cortex	wt	8m
SRR6113406	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-31384404		cortex	wt	8m
SRR6113407	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-31384404		cortex	wt	8m
SRR6113408	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_103-31384404		cortex	wt	8m
SRR6113410	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_104-30903952		cortex	wt	8m
SRR6113411	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_104-30903952		cortex	wt	8m
SRR6113412	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_104-30903952		cortex	wt	8m
SRR6113413	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_104-31395369		cortex	wt	8m
SRR6113414	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_104-31395369		cortex	wt	8m
SRR6113415	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_104-31395369		cortex	wt	8m
SRR6113416	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, wt, 8m		RD_104-31395369		cortex	wt	8m
SRR6113417	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-30887042		cortex	trem2ko	8m
SRR6113418	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-30887042		cortex	trem2ko	8m
SRR6113419	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-30887042		cortex	trem2ko	8m
SRR6113420	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-30887042		cortex	trem2ko	8m
SRR6113421	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-31392369		cortex	trem2ko	8m
SRR6113422	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-31392369		cortex	trem2ko	8m
SRR6113423	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-31392369		cortex	trem2ko	8m
SRR6113424	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_105-31392369		cortex	trem2ko	8m
SRR6113425	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-30893060		cortex	trem2ko	8m
SRR6113426	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-30893060		cortex	trem2ko	8m
SRR6113427	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-30893060		cortex	trem2ko	8m
SRR6113428	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-30893060		cortex	trem2ko	8m
SRR6113429	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-31379405		cortex	trem2ko	8m
SRR6113430	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-31379405		cortex	trem2ko	8m
SRR6113431	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-31379405		cortex	trem2ko	8m
SRR6113432	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_106-31379405		cortex	trem2ko	8m
SRR6113433	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_107-30905952		cortex	trem2ko	8m
SRR6113434	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_107-30905952		cortex	trem2ko	8m
SRR6113435	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_107-30905952		cortex	trem2ko	8m
SRR6113437	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_107-31388422		cortex	trem2ko	8m
SRR6113438	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_107-31388422		cortex	trem2ko	8m
SRR6113439	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_107-31388422		cortex	trem2ko	8m
SRR6113440	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_107-31388422		cortex	trem2ko	8m
SRR6113441	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_108-30893061		cortex	trem2ko	8m
SRR6113442	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_108-30893061		cortex	trem2ko	8m
SRR6113443	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_108-30893061		cortex	trem2ko	8m
SRR6113444	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_108-30893061		cortex	trem2ko	8m
SRR6113446	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_108-31394364		cortex	trem2ko	8m
SRR6113447	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_108-31394364		cortex	trem2ko	8m
SRR6113448	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_108-31394364		cortex	trem2ko	8m
SRR6113449	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-30900008		cortex	trem2ko	8m
SRR6113450	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-30900008		cortex	trem2ko	8m
SRR6113451	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-30900008		cortex	trem2ko	8m
SRR6113452	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-30900008		cortex	trem2ko	8m
SRR6113453	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-31388423		cortex	trem2ko	8m
SRR6113454	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-31388423		cortex	trem2ko	8m
SRR6113455	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-31388423		cortex	trem2ko	8m
SRR6113456	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_109-31388423		cortex	trem2ko	8m
SRR6113457	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30754834		hippocampus	trem2ko	4m
SRR6113458	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30754834		hippocampus	trem2ko	4m
SRR6113459	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30754834		hippocampus	trem2ko	4m
SRR6113460	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30754834		hippocampus	trem2ko	4m
SRR6113461	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30974039		hippocampus	trem2ko	4m
SRR6113462	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30974039		hippocampus	trem2ko	4m
SRR6113463	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30974039		hippocampus	trem2ko	4m
SRR6113464	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_11-30974039		hippocampus	trem2ko	4m
SRR6113465	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-30909943		cortex	trem2ko	8m
SRR6113466	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-30909943		cortex	trem2ko	8m
SRR6113467	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-30909943		cortex	trem2ko	8m
SRR6113468	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-30909943		cortex	trem2ko	8m
SRR6113469	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424		cortex	trem2ko	8m
SRR6113470	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424		cortex	trem2ko	8m
SRR6113471	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424		cortex	trem2ko	8m
SRR6113472	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_110-31388424		cortex	trem2ko	8m
SRR6113473	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013		cortex	trem2ko	8m
SRR6113474	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013		cortex	trem2ko	8m
SRR6113475	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013		cortex	trem2ko	8m
SRR6113476	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-30888013		cortex	trem2ko	8m
SRR6113477	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487		cortex	trem2ko	8m
SRR6113478	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487		cortex	trem2ko	8m
SRR6113479	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487		cortex	trem2ko	8m
SRR6113480	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_111-31371487		cortex	trem2ko	8m
SRR6113481	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070		cortex	trem2ko	8m
SRR6113482	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070		cortex	trem2ko	8m
SRR6113483	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070		cortex	trem2ko	8m
SRR6113484	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-30900070		cortex	trem2ko	8m
SRR6113485	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-31384402		cortex	trem2ko	8m
SRR6113486	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-31384402		cortex	trem2ko	8m
SRR6113487	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-31384402		cortex	trem2ko	8m
SRR6113488	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	cortex	cortex, trem2ko, 8m		RD_112-31384402		cortex	trem2ko	8m
SRR6113489	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_12-30769752		hippocampus	trem2ko	4m
SRR6113490	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_12-30769752		hippocampus	trem2ko	4m
SRR6113491	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_12-30769752		hippocampus	trem2ko	4m
SRR6113492	SRP119064								MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	387	Tximport	v1.26.0-hotfix		male		SRA	hippocampus	hippocampus, trem2ko, 4m		RD_12-30769752		hippocampus	trem2ko	4m
